master id,isin name,factsheet link,prospectus link
137990,LU0562822386,https://doc.morningstar.com/document/f0f248d6eec4633378d22a6c5976844a.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
141131,LU0563142537,https://doc.morningstar.com/document/ade42d1b470c91061947855b4c0b214f.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/768561e3da4fcaaa2c5f28ce2b0c07f1.msdoc/?clientid=imassg&key=32545d22b2a6e612
138582,LU0567554463,https://doc.morningstar.com/document/a28c31b6ed8f4b4be00b261fc63e801c.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
141132,LU0572939691,https://doc.morningstar.com/document/acdc7164f0fe398f94fba4c84c268cf3.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/a89d4a8bdce2ef2821fc70062f3983ff.msdoc/?clientid=imassg&key=32545d22b2a6e612
141133,LU0572940350,https://doc.morningstar.com/document/acdc7164f0fe398f0154de9d4897534d.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/a89d4a8bdce2ef2821fc70062f3983ff.msdoc/?clientid=imassg&key=32545d22b2a6e612
141134,LU0578945809,https://doc.morningstar.com/document/c8e9effd5433e06cf4d076f69c0444aa.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
141135,LU0592505407,https://doc.morningstar.com/document/c02e34fd6be0dc6c77e485e9e570832f.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/e29d85bf5adfeb2a53305d0880e2aed9.msdoc/?clientid=imassg&key=32545d22b2a6e612
141136,LU0592505829,https://doc.morningstar.com/document/c02e34fd6be0dc6c77e485e9e570832f.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/e29d85bf5adfeb2a53305d0880e2aed9.msdoc/?clientid=imassg&key=32545d22b2a6e612
141137,LU0592507361,https://doc.morningstar.com/document/c02e34fd6be0dc6cd7a3d8a9f3a6bd89.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/e29d85bf5adfeb2a53305d0880e2aed9.msdoc/?clientid=imassg&key=32545d22b2a6e612
141138,LU0592507528,https://doc.morningstar.com/document/c02e34fd6be0dc6cd7a3d8a9f3a6bd89.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/e29d85bf5adfeb2a53305d0880e2aed9.msdoc/?clientid=imassg&key=32545d22b2a6e612
141140,LU0594300419,https://doc.morningstar.com/document/2d91d32fc806ffcd85292749090febd1.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/d67b57c8e83f38e237e4403bb6ec17db.msdoc/?clientid=imassg&key=32545d22b2a6e612
138609,LU0616879556,https://doc.morningstar.com/document/b7ff05b20592baf3bfc38c3f28606813.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/8ddf73b62d2e854b8098110db3980575.msdoc/?clientid=imassg&key=32545d22b2a6e612
141142,LU0625451512,https://doc.morningstar.com/document/2be13c3dd8cef2d620face88f05bd686.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
141748,LU0626262082,https://doc.morningstar.com/document/035c5791310f32b7b9fa5749fe8b0234.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/768561e3da4fcaaa2c5f28ce2b0c07f1.msdoc/?clientid=imassg&key=32545d22b2a6e612
138025,LU0626906662,https://doc.morningstar.com/document/16e68dc52dbbf8c1d27634983aec76eb.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/4f70d982a02f0ec80a53dc2675a1e7af.msdoc/?clientid=imassg&key=32545d22b2a6e612
141143,LU0626906746,https://doc.morningstar.com/document/16e68dc52dbbf8c1d27634983aec76eb.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/4f70d982a02f0ec80a53dc2675a1e7af.msdoc/?clientid=imassg&key=32545d22b2a6e612
141144,LU0626907124,https://doc.morningstar.com/document/16e68dc52dbbf8c1d27634983aec76eb.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/4f70d982a02f0ec80a53dc2675a1e7af.msdoc/?clientid=imassg&key=32545d22b2a6e612
141145,LU0626907397,https://doc.morningstar.com/document/16e68dc52dbbf8c1d27634983aec76eb.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/4f70d982a02f0ec80a53dc2675a1e7af.msdoc/?clientid=imassg&key=32545d22b2a6e612
