APD, NYSE
AVY, NYSE
ARW, NYSE
ASH, NYSE
AYI, NYSE
BA, NYSE
AXP, NYSE
ASB, NYSE
ATI, NYSE
BAH, NYSE
AWI, NYSE
BBY, NYSE
BAX, NYSE
BERY, NYSE
AWK, NYSE
TFC, NYSE
BCE, NYSE
BIO, NYSE
BLK, NYSE
AZO, NYSE
BK, NYSE
BLL, NYSE
BMY, NYSE
BDX, NYSE
BUD, NYSE
BSX, NYSE
BRO, NYSE
BABA, NYSE
C, NYSE
BX, NYSE
BWA, NYSE
CAG, NYSE
BNS, NYSE
BOH, NYSE
BP, NYSE
CAT, NYSE
CCI, NYSE
CCL, NYSE
CF, NYSE
CFG, NYSE
CBT, NYSE
CFR, NYSE
CHD, NYSE
CLX, NYSE
CCK, NYSE
CMA, NYSE
CMG, NYSE
CMC, NYSE
CMP, NYSE
CMS, NYSE
CNA, NYSE
CNI, NYSE
CMI, NYSE
CNHI, NYSE
COR, NYSE
COF, NYSE
CE, NYSE
TPR, NYSE
CNC, NYSE
COTY, NYSE
CNQ, NYSE
CRL, NYSE
COO, NYSE
CRM, NYSE
CSL, NYSE
CR, NYSE
CSX, NasdaqGS
CVX, NYSE
CIEN, NYSE
CTLT, NYSE
CRS, NYSE
CUBE, NYSE
DAL, NYSE
CPB, NYSE
DE, NYSE
DEO, NYSE
DBD, NYSE
CVS, NYSE
D, NYSE
DHR, NYSE
DFS, NYSE
DGX, NYSE
DB, NYSE
DKS, NYSE
DRE, NYSE
DLR, NYSE
DPZ, NYSE
CVE, NYSE
CS, NYSE
DRI, NYSE
DHI, NYSE
DVA, NYSE
ED, NYSE
DG, NYSE
DUK, NYSE
EL, NYSE
EDU, NYSE
DD, NYSE
EIX, NYSE
EFX, NYSE
DOV, NYSE
EPAM, NYSE
ECL, NYSE
EGP, NYSE
ELY, NYSE
ERJ, NYSE
ETN, NYSE
ESS, NYSE
EQT, NYSE
ETR, NYSE
EXC, NasdaqGS
EW, NYSE
EXR, NYSE
EXP, NYSE
DTE, NYSE
F, NYSE
STLA, NYSE
FBHS, NYSE
FHN, NYSE
FICO, NYSE
FMC, NYSE
FMS, NYSE
FLR, NYSE
FRT, NYSE
FE, NYSE
GES, NYSE
TGNA, NYSE
ITGR, NYSE
GE, NYSE
G, NYSE
FLS, NYSE
GLW, NYSE
GNRC, NYSE
FIS, NYSE
GMED, NYSE
GGG, NYSE
GM, NYSE
GIS, NYSE
