master id,isin name,price,date
138026,LU0067412154,"1,443.20",2022-03-03
140956,LU0070992663,150.19,2022-03-03
140957,LU0072461881,115.12,2022-03-03
137991,LU0072462426,72.11,2022-03-03
138044,LU0072463663,61.54,2022-03-03
138048,LU0075056555,74.45,2022-03-03
140958,LU0075112721,146.26,2022-03-03
140959,LU0075458603,24.84,2022-01-17
140960,LU0075933415,505.55,2022-03-03
138081,LU0078277505,20.87,2022-02-25
137979,LU0079474960,161.17,2022-03-03
138620,LU0080733339,7.64,2022-03-03
140961,LU0081336892,3.49,2022-03-03
138058,LU0088814487,23.73,2022-03-03
140962,LU0088927925,65.74,2022-03-03
141727,LU0093504206,17.56,2022-03-03
140963,LU0094547139,24.97,2022-03-03
138565,LU0095030564,31.11,2022-03-03
138015,LU0095938881,203.13,2022-03-03
140964,LU0098860793,11.34,2022-03-03
140965,LU0099574567,48.02,2022-03-03
138583,LU0102830865,16.52,2022-03-03
138153,LU0106235293,41.75,2022-03-03
138106,LU0106236267,22.32,2022-03-03
140966,LU0106239873,"1,343.31",2022-03-03
138101,LU0106250508,14.82,2022-03-03
138105,LU0106253197,25.95,2022-03-03
138108,LU0106258311,12.74,2022-03-03
140967,LU0106259046,43.11,2022-03-03
138168,LU0106259558,24.09,2022-03-03
138104,LU0106817157,27.57,2022-02-25
137994,LU0106831901,35.43,2022-03-03
140968,LU0106959298,162.69,2022-03-03
138079,LU0109391861,26.60,2022-03-03
138002,LU0109392836,37.53,2022-03-03
138076,LU0109394709,31.96,2022-03-03
140969,LU0109401686,27.10,2022-03-02
140970,LU0110060430,9.29,2022-03-03
140971,LU0113592215,9.46,2022-03-03
140972,LU0114722498,46.26,2022-03-03
140973,LU0117843481,32.29,2022-03-03
137999,LU0119124781,74.14,2022-03-03
138046,LU0122376428,20.33,2022-03-03
137995,LU0122379950,62.25,2022-03-03
140974,LU0122614208,25.81,2022-03-03
140975,LU0124384867,15.74,2022-03-03
138129,LU0124675678,18.33,2022-03-03
138177,LU0128522157,40.02,2022-03-03
138174,LU0128522744,44.06,2022-03-03
138667,LU0128526570,62.16,2022-03-03
138571,LU0128526901,12.06,2022-03-03
140977,LU0132282301,12.01,2022-03-03
138687,LU0140636845,86.64,2022-03-03
138137,LU0143551892,70.37,2022-03-03
138653,LU0150928074,41.92,2022-03-03
140978,LU0152981543,12.27,2022-03-03
138617,LU0152984307,7.75,2022-03-03
138156,LU0154236417,54.07,2022-03-03
138622,LU0154355936,18.88,2022-03-03
138143,LU0156897901,3.46,2022-03-03
137980,LU0157308031,7.50,2022-03-03
138642,LU0158827195,40.14,2022-03-03
137985,LU0158827948,43.66,2022-03-03
140979,LU0161305163,71.41,2022-03-03
140980,LU0161332480,"44,464.00",2022-03-03
140981,LU0168053600,10.58,2022-03-03
140982,LU0168057262,11.20,2022-03-03
141722,LU0170474422,13.03,2022-03-03
138085,LU0170475312,26.37,2022-03-03
138544,LU0170475585,9.73,2022-03-03
138664,LU0171273575,9.89,2022-03-03
140983,LU0171275786,11.20,2022-03-03
140984,LU0171280430,11.20,2022-03-03
138123,LU0171284937,28.10,2022-03-03
141745,LU0171285314,8.86,2022-03-03
141719,LU0171289498,43.59,2022-03-03
138669,LU0171289738,39.94,2022-03-03
140985,LU0171301533,11.20,2022-03-03
138692,LU0171304719,20.18,2022-03-03
140986,LU0171305526,11.20,2022-03-03
138695,LU0171307068,14.37,2022-03-03
138702,LU0171310443,61.03,2022-03-03
138701,LU0171311680,12.45,2022-03-03
140987,LU0172157280,11.20,2022-03-03
138626,LU0172393414,11.08,2022-03-03
138055,LU0173614495,68.15,2022-03-03
140988,LU0173638916,6.46,2022-03-03
138135,LU0174119429,65.72,2022-03-03
140989,LU0175139822,26.41,2022-03-03
140990,LU0177592218,24.26,2022-03-03
138677,LU0181495838,53.20,2022-03-03
138132,LU0187077481,92.60,2022-03-02
138103,LU0188438112,37.85,2022-03-03
138670,LU0192582467,20.98,2022-03-03
140991,LU0196878994,3.35,2022-03-03
140992,LU0197216392,17.87,2022-03-02
138688,LU0199880310,48.28,2022-03-03
138111,LU0201322137,145.54,2022-03-03
140993,LU0201575346,469.29,2022-03-03
138698,LU0204068364,14.00,2022-03-03
140994,LU0209137388,29.33,2022-03-03
140785,LU0210526637,55.53,2022-03-03
140995,LU0211326839,10.83,2022-03-03
141718,LU0212925753,43.59,2022-03-03
140996,LU0214875030,26.63,2022-03-03
140997,LU0216291897,84.46,2022-03-03
141752,LU0218201050,16.10,2022-03-03
138154,LU0224508324,212.36,2022-03-03
138157,LU0228659784,252.50,2022-03-03
140999,LU0229494975,19.46,2022-03-03
138649,LU0229938369,19.92,2022-03-03
141000,LU0229940001,36.12,2022-03-03
138680,LU0229940183,27.25,2022-03-03
138547,LU0229943369,10.19,2022-03-03
138668,LU0229944680,39.94,2022-03-03
141001,LU0229945570,18.95,2022-03-03
141002,LU0229949994,17.11,2022-03-03
141003,LU0229950067,9.18,2022-03-03
138077,LU0231203729,49.50,2022-03-03
141720,LU0231205187,54.11,2022-03-03
138690,LU0231206078,66.16,2022-03-03
138665,LU0231793349,23.51,2022-02-25
141004,LU0232504117,9.18,2022-03-03
141006,LU0233036713,9.18,2022-03-03
138166,LU0234570918,30.05,2022-03-02
138087,LU0234573003,21.50,2022-03-03
138545,LU0234926953,8.82,2022-03-03
138013,LU0235639324,"1,563.00",2022-03-03
138634,LU0238689110,29.33,2022-03-03
141744,LU0238689623,8.86,2022-03-03
138672,LU0242608361,16.39,2022-03-03
138678,LU0242608874,31.94,2022-03-03
138127,LU0243957239,23.54,2022-03-03
138682,LU0244354667,440.60,2022-03-03
141751,LU0248172537,47.97,2022-03-03
141760,LU0248179540,152.41,2022-03-03
138674,LU0248184466,21.69,2022-03-03
141008,LU0251142724,2.63,2022-03-03
141009,LU0251143029,1.95,2022-03-03
141010,LU0251143458,1.69,2022-03-03
141011,LU0251144696,0.883,2022-03-03
140779,LU0251144936,2.51,2022-03-03
141012,LU0251145669,0.719,2022-03-03
138548,LU0252652382,27.73,2022-03-03
141013,LU0256859116,58.50,2022-03-03
138146,LU0258954014,8.26,2022-03-03
138594,LU0258954444,9.15,2022-03-03
138090,LU0260085492,43.91,2022-03-03
141014,LU0260864003,24.87,2022-03-03
141749,LU0260865158,47.94,2022-03-03
141750,LU0260869739,24.07,2022-03-03
141731,LU0260870158,34.00,2022-03-03
141746,LU0260870661,23.83,2022-03-03
138666,LU0261950470,21.70,2022-03-03
141017,LU0264597617,17.16,2022-03-03
141018,LU0264605907,8.59,2022-03-03
141019,LU0264606111,21.74,2022-03-03
141020,LU0265266980,93.89,2022-03-03
141021,LU0266512127,13.90,2022-03-03
141023,LU0269904917,20.34,2022-03-03
138681,LU0270814014,38.78,2022-03-03
141024,LU0272941971,123.10,2022-03-02
