provider_symbol,source_exchange,master_id,source_name,agrud_ticker,agrud_exchange_name,exchange_id,,security_type_id,provider_id
FDS,NYSE,43662,CFRA,FDS,NYSE,2,Coprorate Action Maintained,4,15
FDX,NYSE,43663,CFRA,FDX,NYSE,2,Coprorate Action Maintained,4,15
FE,NYSE,43664,CFRA,FE,NYSE,2,Coprorate Action Maintained,4,15
FHN,NYSE,43677,CFRA,FHN,NYSE,2,Coprorate Action Maintained,4,15
FICO,NYSE,43680,CFRA,FICO,NYSE,2,Coprorate Action Maintained,4,15
FHI,NYSE,43683,CFRA,FHI,NYSE,2,Coprorate Action Maintained,4,15
FIS,NYSE,43684,CFRA,FIS,NYSE,2,Coprorate Action Maintained,4,15
FL,NYSE,43686,CFRA,FL,NYSE,2,Coprorate Action Maintained,4,15
FLO,NYSE,43688,CFRA,FLO,NYSE,2,Coprorate Action Maintained,4,15
FLR,NYSE,43689,CFRA,FLR,NYSE,2,Coprorate Action Maintained,4,15
FLS,NYSE,43690,CFRA,FLS,NYSE,2,Coprorate Action Maintained,4,15
FLT,NYSE,43691,CFRA,FLT,NYSE,2,Coprorate Action Maintained,4,15
FMC,NYSE,43694,CFRA,FMC,NYSE,2,Coprorate Action Maintained,4,15
FMS,NYSE,43698,CFRA,FMS,NYSE,2,Coprorate Action Maintained,2,15
FNF,NYSE,43704,CFRA,FNF,NYSE,2,Coprorate Action Maintained,4,15
FR,NYSE,43714,CFRA,FR,NYSE,2,Coprorate Action Maintained,4,15
FRT,NYSE,43719,CFRA,FRT,NYSE,2,Coprorate Action Maintained,4,15
FTI,NYSE,43726,CFRA,FTI,NYSE,2,Coprorate Action Maintained,4,15
G,NYSE,43734,CFRA,G,NYSE,2,Coprorate Action Maintained,4,15
ITGR,NYSE,43738,CFRA,ITGR,NYSE,2,Coprorate Action Maintained,4,15
TGNA,NYSE,43745,CFRA,TGNA,NYSE,2,Coprorate Action Maintained,4,15
GD,NYSE,43748,CFRA,GD,NYSE,2,Coprorate Action Maintained,4,15
GE,NYSE,43755,CFRA,GE,NYSE,2,Coprorate Action Maintained,4,15
GES,NYSE,43762,CFRA,GES,NYSE,2,Coprorate Action Maintained,4,15
GGG,NYSE,43772,CFRA,GGG,NYSE,2,Coprorate Action Maintained,4,15
GIS,NYSE,43786,CFRA,GIS,NYSE,2,Coprorate Action Maintained,4,15
GLOB,NYSE,43788,CFRA,GLOB,NYSE,2,Coprorate Action Maintained,2,15
GLW,NYSE,43793,CFRA,GLW,NYSE,2,Coprorate Action Maintained,4,15
GM,NYSE,43794,CFRA,GM,NYSE,2,Coprorate Action Maintained,4,15
GMED,NYSE,43796,CFRA,GMED,NYSE,2,Coprorate Action Maintained,4,15
GNRC,NYSE,43803,CFRA,GNRC,NYSE,2,Coprorate Action Maintained,4,15
GPC,NYSE,43809,CFRA,GPC,NYSE,2,Coprorate Action Maintained,4,15
GPI,NYSE,43810,CFRA,GPI,NYSE,2,Coprorate Action Maintained,4,15
GPN,NYSE,43813,CFRA,GPN,NYSE,2,Coprorate Action Maintained,4,15
GPS,NYSE,43815,CFRA,GPS,NYSE,2,Coprorate Action Maintained,4,15
GS,NYSE,43824,CFRA,GS,NYSE,2,Coprorate Action Maintained,4,15
GSK,NYSE,43827,CFRA,GSK,NYSE,2,Coprorate Action Maintained,2,15
GWW,NYSE,43838,CFRA,GWW,NYSE,2,Coprorate Action Maintained,4,15
H,NYSE,43842,CFRA,H,NYSE,2,Coprorate Action Maintained,4,15
HAL,NYSE,43844,CFRA,HAL,NYSE,2,Coprorate Action Maintained,4,15
HBI,NYSE,43847,CFRA,HBI,NYSE,2,Coprorate Action Maintained,4,15
HCA,NYSE,43849,CFRA,HCA,NYSE,2,Coprorate Action Maintained,4,15
WELL,NYSE,43853,CFRA,WELL,NYSE,2,Coprorate Action Maintained,4,15
PEAK,NYSE,43854,CFRA,PEAK,NYSE,2,Coprorate Action Maintained,4,15
HD,NYSE,43855,CFRA,HD,NYSE,2,Coprorate Action Maintained,4,15
HE,NYSE,43857,CFRA,HE,NYSE,2,Coprorate Action Maintained,4,15
HEI,NYSE,43858,CFRA,HEI,NYSE,2,Coprorate Action Maintained,4,15
HES,NYSE,43862,CFRA,HES,NYSE,2,Coprorate Action Maintained,4,15
HFC,NYSE,43864,CFRA,HFC,NYSE,2,Coprorate Action Maintained,4,15
HIG,NYSE,43874,CFRA,HIG,NYSE,2,Coprorate Action Maintained,4,15
HII,NYSE,43875,CFRA,HII,NYSE,2,Coprorate Action Maintained,4,15
HLF,NYSE,43883,CFRA,HLF,NYSE,2,Coprorate Action Maintained,4,15
HLT,NYSE,43885,CFRA,HLT,NYSE,2,Coprorate Action Maintained,4,15
HMC,NYSE,43887,CFRA,HMC,NYSE,2,Coprorate Action Maintained,2,15
HOG,NYSE,43896,CFRA,HOG,NYSE,2,Coprorate Action Maintained,4,15
HON,NasdaqGS,43897,CFRA,HON,NASDAQ,1,Coprorate Action Maintained,4,15
HP,NYSE,43901,CFRA,HP,NYSE,2,Coprorate Action Maintained,4,15
HPQ,NYSE,43905,CFRA,HPQ,NYSE,2,Coprorate Action Maintained,4,15
SVC,NasdaqGS,43907,CFRA,SVC,NASDAQ,1,Coprorate Action Maintained,4,15
HRC,NYSE,43913,CFRA,HRC,NYSE,2,Coprorate Action Maintained,4,15
HRL,NYSE,43915,CFRA,HRL,NYSE,2,Coprorate Action Maintained,4,15
LHX,NYSE,43916,CFRA,LHX,NYSE,2,Coprorate Action Maintained,4,15
HSBC,NYSE,43918,CFRA,HSBC,NYSE,2,Coprorate Action Maintained,2,15
HSY,NYSE,43922,CFRA,HSY,NYSE,2,Coprorate Action Maintained,4,15
HUM,NYSE,43933,CFRA,HUM,NYSE,2,Coprorate Action Maintained,4,15
HUN,NYSE,43934,CFRA,HUN,NYSE,2,Coprorate Action Maintained,4,15
HXL,NYSE,43938,CFRA,HXL,NYSE,2,Coprorate Action Maintained,4,15
IBM,NYSE,43950,CFRA,IBM,NYSE,2,Coprorate Action Maintained,4,15
ICE,NYSE,43956,CFRA,ICE,NYSE,2,Coprorate Action Maintained,4,15
IFF,NYSE,43962,CFRA,IFF,NYSE,2,Coprorate Action Maintained,4,15
INFY,NYSE,43986,CFRA,INFY,NYSE,2,Coprorate Action Maintained,2,15
ING,NYSE,43987,CFRA,ING,NYSE,2,Coprorate Action Maintained,2,15
INGR,NYSE,43988,CFRA,INGR,NYSE,2,Coprorate Action Maintained,4,15
IP,NYSE,43995,CFRA,IP,NYSE,2,Coprorate Action Maintained,4,15
IPG,NYSE,43996,CFRA,IPG,NYSE,2,Coprorate Action Maintained,4,15
IR,NYSE,44000,CFRA,IR,NYSE,2,Coprorate Action Maintained,4,15
IRM,NYSE,44004,CFRA,IRM,NYSE,2,Coprorate Action Maintained,4,15
IT,NYSE,44009,CFRA,IT,NYSE,2,Coprorate Action Maintained,4,15
ITT,NYSE,44012,CFRA,ITT,NYSE,2,Coprorate Action Maintained,4,15
ITW,NYSE,44014,CFRA,ITW,NYSE,2,Coprorate Action Maintained,4,15
IVZ,NYSE,44018,CFRA,IVZ,NYSE,2,Coprorate Action Maintained,4,15
JBL,NYSE,44021,CFRA,JBL,NYSE,2,Coprorate Action Maintained,4,15
JCI,NYSE,44024,CFRA,JCI,NYSE,2,Coprorate Action Maintained,4,15
J,NYSE,44028,CFRA,J,NYSE,2,Coprorate Action Maintained,4,15
JKS,NYSE,44039,CFRA,JKS,NYSE,2,Coprorate Action Maintained,2,15
JNJ,NYSE,44049,CFRA,JNJ,NYSE,2,Coprorate Action Maintained,4,15
JNPR,NYSE,44050,CFRA,JNPR,NYSE,2,Coprorate Action Maintained,4,15
JPM,NYSE,44059,CFRA,JPM,NYSE,2,Coprorate Action Maintained,4,15
JWN,NYSE,44070,CFRA,JWN,NYSE,2,Coprorate Action Maintained,4,15
K,NYSE,44071,CFRA,K,NYSE,2,Coprorate Action Maintained,4,15
KAR,NYSE,44074,CFRA,KAR,NYSE,2,Coprorate Action Maintained,4,15
KBH,NYSE,44077,CFRA,KBH,NYSE,2,Coprorate Action Maintained,4,15
KEP,NYSE,44085,CFRA,KEP,NYSE,2,Coprorate Action Maintained,2,15
KEX,NYSE,44086,CFRA,KEX,NYSE,2,Coprorate Action Maintained,4,15
KEY,NYSE,44087,CFRA,KEY,NYSE,2,Coprorate Action Maintained,4,15
KEYS,NYSE,44088,CFRA,KEYS,NYSE,2,Coprorate Action Maintained,4,15
KIM,NYSE,44094,CFRA,KIM,NYSE,2,Coprorate Action Maintained,4,15
KKR,NYSE,44098,CFRA,KKR,NYSE,2,Coprorate Action Maintained,4,15
KMB,NYSE,44099,CFRA,KMB,NYSE,2,Coprorate Action Maintained,4,15
KMI,NYSE,44102,CFRA,KMI,NYSE,2,Coprorate Action Maintained,4,15
KMT,NYSE,44105,CFRA,KMT,NYSE,2,Coprorate Action Maintained,4,15
KMX,NYSE,44106,CFRA,KMX,NYSE,2,Coprorate Action Maintained,4,15
KNX,NYSE,44112,CFRA,KNX,NYSE,2,Coprorate Action Maintained,4,15
KO,NYSE,44113,CFRA,KO,NYSE,2,Coprorate Action Maintained,4,15
KR,NYSE,44119,CFRA,KR,NYSE,2,Coprorate Action Maintained,4,15
KSS,NYSE,44126,CFRA,KSS,NYSE,2,Coprorate Action Maintained,4,15
KSU,NYSE,44128,CFRA,KSU,NYSE,2,Coprorate Action Maintained,4,15
L,NYSE,44136,CFRA,L,NYSE,2,Coprorate Action Maintained,4,15
LAD,NYSE,44137,CFRA,LAD,NYSE,2,Coprorate Action Maintained,4,15
LAZ,NYSE,44140,CFRA,LAZ,NYSE,2,Coprorate Action Maintained,4,15
BBWI,NYSE,44141,CFRA,BBWI,NYSE,2,Coprorate Action Maintained,4,15
LDOS,NYSE,44148,CFRA,LDOS,NYSE,2,Coprorate Action Maintained,4,15
LEA,NYSE,44151,CFRA,LEA,NYSE,2,Coprorate Action Maintained,4,15
LEN,NYSE,44156,CFRA,LEN,NYSE,2,Coprorate Action Maintained,4,15
LFC,NYSE,44160,CFRA,LFC,NYSE,2,Coprorate Action Maintained,2,15
LH,NYSE,44165,CFRA,LH,NYSE,2,Coprorate Action Maintained,4,15
LII,NYSE,44167,CFRA,LII,NYSE,2,Coprorate Action Maintained,4,15
LLY,NYSE,44171,CFRA,LLY,NYSE,2,Coprorate Action Maintained,4,15
LMT,NYSE,44173,CFRA,LMT,NYSE,2,Coprorate Action Maintained,4,15
LNC,NYSE,44174,CFRA,LNC,NYSE,2,Coprorate Action Maintained,4,15
LNT,NasdaqGS,44178,CFRA,LNT,NASDAQ,1,Coprorate Action Maintained,4,15
LOW,NYSE,44182,CFRA,LOW,NYSE,2,Coprorate Action Maintained,4,15
LPX,NYSE,44187,CFRA,LPX,NYSE,2,Coprorate Action Maintained,4,15
JEF,NYSE,44194,CFRA,JEF,NYSE,2,Coprorate Action Maintained,4,15
LUV,NYSE,44195,CFRA,LUV,NYSE,2,Coprorate Action Maintained,4,15
LVS,NYSE,44198,CFRA,LVS,NYSE,2,Coprorate Action Maintained,4,15
LYB,NYSE,44204,CFRA,LYB,NYSE,2,Coprorate Action Maintained,4,15
LYV,NYSE,44206,CFRA,LYV,NYSE,2,Coprorate Action Maintained,4,15
M,NYSE,44208,CFRA,M,NYSE,2,Coprorate Action Maintained,4,15
MA,NYSE,44209,CFRA,MA,NYSE,2,Coprorate Action Maintained,4,15
MAA,NYSE,44210,CFRA,MAA,NYSE,2,Coprorate Action Maintained,4,15
MAC,NYSE,44211,CFRA,MAC,NYSE,2,Coprorate Action Maintained,4,15
MAS,NYSE,44215,CFRA,MAS,NYSE,2,Coprorate Action Maintained,4,15
MCD,NYSE,44224,CFRA,MCD,NYSE,2,Coprorate Action Maintained,4,15
MCK,NYSE,44226,CFRA,MCK,NYSE,2,Coprorate Action Maintained,4,15
MCO,NYSE,44228,CFRA,MCO,NYSE,2,Coprorate Action Maintained,4,15
MD,NYSE,44233,CFRA,MD,NYSE,2,Coprorate Action Maintained,4,15
MDT,NYSE,44238,CFRA,MDT,NYSE,2,Coprorate Action Maintained,4,15
MDU,NYSE,44239,CFRA,MDU,NYSE,2,Coprorate Action Maintained,4,15
MET,NYSE,44245,CFRA,MET,NYSE,2,Coprorate Action Maintained,4,15
MFC,NYSE,44247,CFRA,MFC,NYSE,2,Coprorate Action Maintained,2,15
MGA,NYSE,44255,CFRA,MGA,NYSE,2,Coprorate Action Maintained,2,15
MHK,NYSE,44264,CFRA,MHK,NYSE,2,Coprorate Action Maintained,4,15
MKC,NYSE,44280,CFRA,MKC,NYSE,2,Coprorate Action Maintained,4,15
MKL,NYSE,44281,CFRA,MKL,NYSE,2,Coprorate Action Maintained,4,15
MLM,NYSE,44283,CFRA,MLM,NYSE,2,Coprorate Action Maintained,4,15
MMC,NYSE,44287,CFRA,MMC,NYSE,2,Coprorate Action Maintained,4,15
MMM,NYSE,44290,CFRA,MMM,NYSE,2,Coprorate Action Maintained,4,15
MO,NYSE,44301,CFRA,MO,NYSE,2,Coprorate Action Maintained,4,15
MOH,NYSE,44304,CFRA,MOH,NYSE,2,Coprorate Action Maintained,4,15
MOS,NYSE,44307,CFRA,MOS,NYSE,2,Coprorate Action Maintained,4,15
MPC,NYSE,44310,CFRA,MPC,NYSE,2,Coprorate Action Maintained,4,15
MRK,NYSE,44323,CFRA,MRK,NYSE,2,Coprorate Action Maintained,4,15
MRO,NYSE,44324,CFRA,MRO,NYSE,2,Coprorate Action Maintained,4,15
MS,NYSE,44325,CFRA,MS,NYSE,2,Coprorate Action Maintained,4,15
MSCI,NYSE,44328,CFRA,MSCI,NYSE,2,Coprorate Action Maintained,4,15
MSI,NYSE,44331,CFRA,MSI,NYSE,2,Coprorate Action Maintained,4,15
MTB,NYSE,44337,CFRA,MTB,NYSE,2,Coprorate Action Maintained,4,15
MTD,NYSE,44338,CFRA,MTD,NYSE,2,Coprorate Action Maintained,4,15
MTH,NYSE,44341,CFRA,MTH,NYSE,2,Coprorate Action Maintained,4,15
MTN,NYSE,44343,CFRA,MTN,NYSE,2,Coprorate Action Maintained,4,15
MTX,NYSE,44351,CFRA,MTX,NYSE,2,Coprorate Action Maintained,4,15
MUR,NYSE,44359,CFRA,MUR,NYSE,2,Coprorate Action Maintained,4,15
MXL,NYSE,44375,CFRA,MXL,NYSE,2,Coprorate Action Maintained,4,15
NCR,NYSE,44407,CFRA,NCR,NYSE,2,Coprorate Action Maintained,4,15
NEE,NYSE,44416,CFRA,NEE,NYSE,2,Coprorate Action Maintained,4,15
NEM,NYSE,44418,CFRA,NEM,NYSE,2,Coprorate Action Maintained,4,15
NEWR,NYSE,44424,CFRA,NEWR,NYSE,2,Coprorate Action Maintained,4,15
