source_symbol,source_exchange
EAT,NYSE
OVV,NYSE
ECL,NYSE
ED,NYSE
EDU,NYSE
EFX,NYSE
EGP,NYSE
EIX,NYSE
EL,NYSE
ELY,NYSE
EMN,NYSE
EMR,NYSE
EPAM,NYSE
EQR,NYSE
EQT,NYSE
ERJ,NYSE
ESS,NYSE
ETN,NYSE
ETR,NYSE
EVR,NYSE
EW,NYSE
EXC,NasdaqGS
EXP,NYSE
EXR,NYSE
F,NYSE
FBHS,NYSE
STLA,NYSE
FDS,NYSE
FDX,NYSE
FE,NYSE
FHN,NYSE
FICO,NYSE
FHI,NYSE
FIS,NYSE
FL,NYSE
FLO,NYSE
FLR,NYSE
FLS,NYSE
FLT,NYSE
FMC,NYSE
FMS,NYSE
FNF,NYSE
FR,NYSE
FRT,NYSE
FTI,NYSE
G,NYSE
ITGR,NYSE
TGNA,NYSE
GD,NYSE
GE,NYSE
GES,NYSE
GGG,NYSE
GIS,NYSE
GLOB,NYSE
GLW,NYSE
GM,NYSE
GMED,NYSE
GNRC,NYSE
GPC,NYSE
GPI,NYSE
GPN,NYSE
GPS,NYSE
GS,NYSE
GSK,NYSE
GWW,NYSE
H,NYSE
HAL,NYSE
HBI,NYSE
HCA,NYSE
WELL,NYSE
PEAK,NYSE
HD,NYSE
HE,NYSE
HEI,NYSE
HES,NYSE
HFC,NYSE
HIG,NYSE
HII,NYSE
HLF,NYSE
HLT,NYSE
HMC,NYSE
HOG,NYSE
HON,NasdaqGS
HP,NYSE
HPQ,NYSE
SVC,NasdaqGS
HRC,NYSE
HRL,NYSE
LHX,NYSE
HSBC,NYSE
HSY,NYSE
HUM,NYSE
HUN,NYSE
HXL,NYSE
IBM,NYSE
ICE,NYSE
IFF,NYSE
INFY,NYSE
ING,NYSE
INGR,NYSE
IP,NYSE
IPG,NYSE
IR,NYSE
IRM,NYSE
IT,NYSE
ITT,NYSE
ITW,NYSE
IVZ,NYSE
JBL,NYSE
JCI,NYSE
J,NYSE
JKS,NYSE
JNJ,NYSE
JNPR,NYSE
JPM,NYSE
JWN,NYSE
K,NYSE
KAR,NYSE
KBH,NYSE
KEP,NYSE
KEX,NYSE
KEY,NYSE
KEYS,NYSE
KIM,NYSE
KKR,NYSE
KMB,NYSE
KMI,NYSE
KMT,NYSE
KMX,NYSE
KNX,NYSE
KO,NYSE
KR,NYSE
KSS,NYSE
KSU,NYSE
L,NYSE
LAD,NYSE
LAZ,NYSE
BBWI,NYSE
LDOS,NYSE
LEA,NYSE
LEN,NYSE
LFC,NYSE
LH,NYSE
LII,NYSE
LLY,NYSE
LMT,NYSE
LNC,NYSE
LNT,NasdaqGS
LOW,NYSE
LPX,NYSE
JEF,NYSE
LUV,NYSE
LVS,NYSE
LYB,NYSE
LYV,NYSE
M,NYSE
MA,NYSE
MAA,NYSE
MAC,NYSE
MAS,NYSE
MCD,NYSE
MCK,NYSE
MCO,NYSE
MD,NYSE
MDP,NYSE
MDT,NYSE
MDU,NYSE
MET,NYSE
MFC,NYSE
MGA,NYSE
MHK,NYSE
MKC,NYSE
MKL,NYSE
MLM,NYSE
MMC,NYSE
MMM,NYSE
MO,NYSE
MOH,NYSE
MOS,NYSE
MPC,NYSE
MRK,NYSE
MRO,NYSE
MS,NYSE
MSCI,NYSE
MSI,NYSE
MTB,NYSE
MTD,NYSE
MTH,NYSE
MTN,NYSE
MTX,NYSE
MUR,NYSE
MXL,NYSE
NCR,NYSE
NEE,NYSE
NEM,NYSE
NEWR,NYSE
NFG,NYSE
NGG,NYSE
NI,NYSE
NJR,NYSE
NKE,NYSE
NLSN,NYSE
NLY,NYSE
NNN,NYSE
NOC,NYSE
NOK,NYSE
NOV,NYSE
NOW,NYSE
NRG,NYSE
NSC,NYSE
NUE,NYSE
NVR,NYSE
NVS,NYSE
NWL,NasdaqGS
NWN,NYSE
NYCB,NYSE
NYT,NYSE
O,NYSE
OC,NYSE
OGE,NYSE
OGS,NYSE
OI,NYSE
OKE,NYSE
OLN,NYSE
OMC,NYSE
OMI,NYSE
ORA,NYSE
ORAN,NYSE
OSK,NYSE
OXY,NYSE
PAG,NYSE
PANW,NYSE
PAYC,NYSE
PBH,NYSE
PBI,NYSE
PBR,NYSE
PEG,NYSE
PEP,NasdaqGS
PFE,NYSE
PFG,NasdaqGS
PG,NYSE
PGR,NYSE
PH,NYSE
PHM,NYSE
PKG,NYSE
PKI,NYSE
PKX,NYSE
PLD,NYSE
POLY,NYSE
PM,NYSE
PNC,NYSE
PNM,NYSE
PNR,NYSE
PNW,NYSE
POR,NYSE
PPG,NYSE
PPL,NYSE
PRGO,NYSE
PRU,NYSE
PSA,NYSE
PSB,NYSE
PSO,NYSE
PSX,NYSE
PTR,NYSE
PVH,NYSE
PWR,NYSE
PXD,NYSE
R,NYSE
RAD,NYSE
RCL,NYSE
RE,NYSE
REG,NasdaqGS
RF,NYSE
RH,NYSE
RHI,NYSE
RIG,NYSE
RIO,NYSE
RJF,NYSE
RL,NYSE
RMD,NYSE
RNG,NYSE
RNR,NYSE
ROK,NYSE
ROL,NYSE
ROP,NYSE
RPM,NYSE
RS,NYSE
RSG,NYSE
RY,NYSE
SAH,NYSE
SAIC,NYSE
SAM,NYSE
SAP,NYSE
SCHW,NYSE
SEAS,NYSE
SEE,NYSE
SF,NYSE
SHAK,NYSE
SHW,NYSE
SIG,NYSE
SIX,NYSE
SJI,NYSE
SJM,NYSE
SKT,NYSE
SKX,NYSE
SLB,NYSE
SLG,NYSE
SMG,NYSE
SMP,NYSE
SNA,NYSE
SONY,NYSE
SNN,NYSE
SNV,NYSE
SNX,NYSE
SO,NYSE
SON,NYSE
SPG,NYSE
SPR,NYSE
SPXC,NYSE
SRE,NYSE
LSI,NYSE
STM,NYSE
STT,NYSE
SU,NYSE
SUI,NYSE
SWK,NYSE
SWX,NYSE
SYF,NYSE
SYK,NYSE
SYY,NYSE
T,NYSE
TAL,NYSE
TAP,NYSE
TECK,NYSE
TD,NYSE
TDC,NYSE
TDG,NYSE
TDS,NYSE
TDY,NYSE
TEF,NYSE
TEL,NYSE
TER,NasdaqGS
TEVA,NYSE
TEX,NYSE
TFX,NYSE
TGT,NYSE
THC,NYSE
THO,NYSE
THS,NYSE
TJX,NYSE
TM,NYSE
TMHC,NYSE
GL,NYSE
TMO,NYSE
TOL,NYSE
TTE,NYSE
TPX,NYSE
TRGP,NYSE
TRI,NYSE
TRN,NYSE
TRP,NYSE
TRV,NYSE
TSM,NYSE
TSN,NYSE
TTC,NYSE
TU,NYSE
TWTR,NYSE
TXT,NYSE
UAL,NasdaqGS
UDR,NYSE
UGI,NYSE
UHS,NYSE
UL,NYSE
UNF,NYSE
UNH,NYSE
UNM,NYSE
UNP,NYSE
UPS,NYSE
URI,NYSE
USB,NYSE
USM,NYSE
V,NYSE
VALE,NYSE
VC,NasdaqGS
VEEV,NYSE
VFC,NYSE
VIPS,NYSE
VLO,NYSE
VMC,NYSE
VMW,NYSE
VNO,NYSE
VOYA,NYSE
BHC,NYSE
VTR,NYSE
VZ,NYSE
W,NYSE
WAB,NYSE
WAT,NYSE
WBS,NYSE
WCN,NYSE
WDAY,NasdaqGS
WEC,NYSE
WFC,NYSE
WGO,NYSE
WHR,NYSE
WIT,NYSE
WLK,NYSE
WM,NYSE
WMB,NYSE
WMT,NYSE
WNS,NYSE
WOR,NYSE
WPP,NYSE
WRB,NYSE
WSM,NYSE
WSO,NYSE
WST,NYSE
WTS,NYSE
WU,NYSE
WWE,NYSE
WY,NYSE
TNL,NYSE
X,NYSE
XEL,NasdaqGS
XOM,NYSE
XPO,NYSE
XRX,NasdaqGS
XYL,NYSE
Y,NYSE
YUM,NYSE
ZBH,NYSE
ZTS,NYSE
DECK,NYSE
ORCL,NYSE
AAL,NasdaqGS
AAPL,NasdaqGS
ABMD,NasdaqGS
ACGL,NasdaqGS
ADBE,NasdaqGS
ADI,NasdaqGS
ADP,NasdaqGS
ADSK,NasdaqGS
ADTN,NasdaqGS
AEIS,NasdaqGS
AKAM,NasdaqGS
ALGN,NasdaqGS
ALGT,NasdaqGS
ALKS,NasdaqGS
ALNY,NasdaqGS
AMAT,NasdaqGS
AMBA,NasdaqGS
AMCX,NasdaqGS
AMGN,NasdaqGS
AMKR,NasdaqGS
AMZN,NasdaqGS
ANSS,NasdaqGS
ASML,NasdaqGS
ASTE,NasdaqGS
ATVI,NasdaqGS
AVGO,NasdaqGS
BBBY,NasdaqGS
BB,NYSE
BIDU,NasdaqGS
BIIB,NasdaqGS
BJRI,NasdaqGS
BLDP,NasdaqGS
BMRN,NasdaqGS
BRKS,NasdaqGS
CAKE,NasdaqGS
CASY,NasdaqGS
CCMP,NasdaqGS
CDNS,NasdaqGS
CDW,NasdaqGS
CERN,NasdaqGS
CG,NasdaqGS
CGNX,NasdaqGS
CHKP,NasdaqGS
CHRW,NasdaqGS
CHTR,NasdaqGS
CINF,NasdaqGS
CMCSA,NasdaqGS
CME,NasdaqGS
CNSL,NasdaqGS
COLM,NasdaqGS
COMM,NasdaqGS
CONE,NasdaqGS
COST,NasdaqGS
CPRT,NasdaqGS
CRUS,NasdaqGS
CSCO,NasdaqGS
CSIQ,NasdaqGS
CTAS,NasdaqGS
TCOM,NasdaqGS
CTSH,NasdaqGS
CTXS,NasdaqGS
CVLT,NasdaqGS
CWST,NasdaqGS
DIOD,NasdaqGS
DISCA,NasdaqGS
DISH,NasdaqGS
DLTR,NasdaqGS
DXCM,NasdaqGS
EA,NasdaqGS
EBAY,NasdaqGS
ENPH,NasdaqGS
ENTG,NasdaqGS
EQIX,NasdaqGS
ERIC,NasdaqGS
EWBC,NasdaqGS
EXAS,NasdaqGS
EXPD,NasdaqGS
EXPE,NasdaqGS
FAST,NasdaqGS
FB,NasdaqGS
FFIV,NasdaqGS
FISV,NasdaqGS
FITB,NasdaqGS
FIVE,NasdaqGS
FIZZ,NasdaqGS
FLEX,NasdaqGS
FSLR,NasdaqGS
FTNT,NasdaqGS
FULT,NasdaqGS
FWRD,NasdaqGS
GILD,NasdaqGS
GNTX,NasdaqGS
GOOGL,NasdaqGS
GPRO,NasdaqGS
GRMN,NasdaqGS
GTLS,NYSE
HAIN,NasdaqGS
HAS,NasdaqGS
HBAN,NasdaqGS
HCSG,NasdaqGS
HOLX,NasdaqGS
HSIC,NasdaqGS
IART,NasdaqGS
ICLR,NasdaqGS
IDXX,NasdaqGS
ILMN,NasdaqGS
INCY,NasdaqGS
INTC,NasdaqGS
INTU,NasdaqGS
IPGP,NasdaqGS
IONS,NasdaqGS
ISRG,NasdaqGS
ITRI,NasdaqGS
JBHT,NasdaqGS
JBLU,NasdaqGS
JD,NasdaqGS
JKHY,NasdaqGS
KLAC,NasdaqGS
LAMR,NasdaqGS
LECO,NasdaqGS
LKQ,NasdaqGS
LOGI,NasdaqGS
LPLA,NasdaqGS
LRCX,NasdaqGS
LSCC,NasdaqGS
LSTR,NasdaqGS
LULU,NasdaqGS
MANH,NasdaqGS
MANT,NasdaqGS
