source_symbol,source_exchange,master_id
AMKR,NasdaqGS,45533
AMZN,NasdaqGS,45549
ANSS,NasdaqGS,45561
ASML,NasdaqGS,45608
ASTE,NasdaqGS,45615
ATVI,NasdaqGS,45639
AVGO,NasdaqGS,45647
BBBY,NasdaqGS,45669
BB,NYSE,45679
BIDU,NasdaqGS,45707
BIIB,NasdaqGS,45708
BJRI,NasdaqGS,45715
BLDP,NasdaqGS,45722
BMRN,NasdaqGS,45735
BRKS,NasdaqGS,45762
CAKE,NasdaqGS,45797
CASY,NasdaqGS,45819
CCMP,NasdaqGS,45843
CDNS,NasdaqGS,45852
CDW,NasdaqGS,45854
CERN,NasdaqGS,45867
CG,NasdaqGS,45881
CGNX,NasdaqGS,45884
CHKP,NasdaqGS,45896
CHRW,NasdaqGS,45902
CHTR,NasdaqGS,45903
CINF,NasdaqGS,45911
CMCSA,NasdaqGS,45939
CME,NasdaqGS,45942
CNSL,NasdaqGS,45960
COLM,NasdaqGS,45974
COMM,NasdaqGS,45975
CONE,NasdaqGS,45977
COST,NasdaqGS,45984
CPRT,NasdaqGS,45995
CRUS,NasdaqGS,46020
CSCO,NasdaqGS,46027
CSIQ,NasdaqGS,46033
CTAS,NasdaqGS,46041
TCOM,NasdaqGS,46052
CTSH,NasdaqGS,46055
CTXS,NasdaqGS,46058
CVLT,NasdaqGS,46069
CWST,NasdaqGS,46076
DIOD,NasdaqGS,46122
DISCA,NasdaqGS,46123
DISH,NasdaqGS,46126
DLTR,NasdaqGS,46130
DXCM,NasdaqGS,46161
EA,NasdaqGS,46173
EBAY,NasdaqGS,46176
ENPH,NasdaqGS,46233
ENTG,NasdaqGS,46237
EQIX,NasdaqGS,46249
ERIC,NasdaqGS,46251
EWBC,NasdaqGS,46282
EXAS,NasdaqGS,46285
EXPD,NasdaqGS,46290
EXPE,NasdaqGS,46291
FAST,NasdaqGS,46302
FB,NasdaqGS,46304
FFIV,NasdaqGS,46339
FISV,NasdaqGS,46350
FITB,NasdaqGS,46351
FIVE,NasdaqGS,46352
FIZZ,NasdaqGS,46354
FLEX,NasdaqGS,46356
FSLR,NasdaqGS,46412
FTNT,NasdaqGS,46423
FULT,NasdaqGS,46429
FWRD,NasdaqGS,46435
GILD,NasdaqGS,46473
GNTX,NasdaqGS,46498
GOOGL,NasdaqGS,46505
GPRO,NasdaqGS,46509
GRMN,NasdaqGS,46514
GTLS,NYSE,46525
HAIN,NasdaqGS,46538
HAS,NasdaqGS,46542
HBAN,NasdaqGS,46546
HCSG,NasdaqGS,46563
HOLX,NasdaqGS,46604
HSIC,NasdaqGS,46614
IART,NasdaqGS,46642
ICLR,NasdaqGS,46656
IDXX,NasdaqGS,46665
ILMN,NasdaqGS,46687
INCY,NasdaqGS,46701
INTC,NasdaqGS,46716
INTU,NasdaqGS,46719
IPGP,NasdaqGS,46731
IONS,NasdaqGS,46750
ISRG,NasdaqGS,46753
ITRI,NasdaqGS,46761
JBHT,NasdaqGS,46771
JBLU,NasdaqGS,46772
JD,NasdaqGS,46777
JKHY,NasdaqGS,46782
KLAC,NasdaqGS,46816
LAMR,NasdaqGS,46843
LECO,NasdaqGS,46862
LKQ,NasdaqGS,46882
LOGI,NasdaqGS,46904
LPLA,NasdaqGS,46914
LRCX,NasdaqGS,46922
LSCC,NasdaqGS,46924
LSTR,NasdaqGS,46925
LULU,NasdaqGS,46932
MANH,NasdaqGS,46943
MANT,NasdaqGS,46944
MAT,NasdaqGS,46949
MCHP,NasdaqGS,46967
MDLZ,NasdaqGS,46977
MDRX,NasdaqGS,46978
MKSI,NasdaqGS,47020
MNRO,NasdaqGS,47037
MNST,NasdaqGS,47038
MPWR,NasdaqGS,47054
MRVL,NasdaqGS,47065
MSFT,NasdaqGS,47070
MU,NasdaqGS,47084
NAVI,NasdaqGS,47103
NBIX,NasdaqGS,47105
NCLH,NYSE,47110
NDAQ,NasdaqGS,47113
NFLX,NasdaqGS,47130
NICE,NasdaqGS,47134
NKTR,NasdaqGS,47138
NTAP,NasdaqGS,47155
NTCT,NasdaqGS,47156
NTES,NasdaqGS,47157
NTGR,NasdaqGS,47158
NTRS,NasdaqGS,47163
NUAN,NasdaqGS,47165
NVAX,NasdaqGS,47169
NVDA,NasdaqGS,47171
NWSA,NasdaqGS,47186
NXPI,NasdaqGS,47187
ODFL,NasdaqGS,47202
OLED,NasdaqGS,47214
ON,NasdaqGS,47224
ORLY,NasdaqGS,47239
PAYX,NasdaqGS,47274
PBCT,NasdaqGS,47276
PCAR,NasdaqGS,47283
BKNG,NasdaqGS,47287
PDCO,NasdaqGS,47299
PEGA,NasdaqGS,47307
PENN,NasdaqGS,47310
PLUG,NasdaqGS,47351
PODD,NasdaqGS,47366
POOL,NasdaqGS,47367
PTEN,NasdaqGS,47422
PZZA,NasdaqGS,47436
QCOM,NasdaqGS,47444
QGEN,NYSE,47447
QRVO,NasdaqGS,47464
REGI,NasdaqGS,47503
REGN,NasdaqGS,47504
RGLD,NasdaqGS,47519
RMBS,NasdaqGS,47532
ROST,NasdaqGS,47550
SABR,NasdaqGS,47578
SAFM,NasdaqGS,47580
SANM,NasdaqGS,47589
SAVE,NYSE,47593
SBAC,NasdaqGS,47594
SBGI,NasdaqGS,47599
SBUX,NasdaqGS,47605
SFM,NasdaqGS,47629
SGEN,NasdaqGS,47635
SIRI,NasdaqGS,47670
SIVB,NasdaqGS,47672
SKYW,NasdaqGS,47679
SLAB,NasdaqGS,47681
SLGN,NasdaqGS,47683
SMTC,NasdaqGS,47704
SNPS,NasdaqGS,47715
RBBN,NasdaqGS,47726
SPWR,NasdaqGS,47751
SRCL,NasdaqGS,47758
SSYS,NasdaqGS,47771
STLD,NasdaqGS,47780
STX,NasdaqGS,47793
SWKS,NasdaqGS,47807
NLOK,NasdaqGS,47811
SYNA,NasdaqGS,47813
TNDM,NasdaqGS,47884
TRIP,NasdaqGS,47899
TRMB,NasdaqGS,47901
TRMK,NasdaqGS,47902
TROW,NasdaqGS,47906
TSCO,NasdaqGS,47914
TSLA,NasdaqGS,47916
TTEK,NasdaqGS,47924
TTWO,NasdaqGS,47931
TXN,NasdaqGS,47940
ULTA,NasdaqGS,47968
UNFI,NYSE,47975
URBN,NasdaqGS,47983
VOD,NasdaqGS,48040
VRSK,NasdaqGS,48051
VRSN,NasdaqGS,48052
VRTX,NasdaqGS,48057
WABC,NasdaqGS,48080
WBA,NasdaqGS,48087
WDC,NasdaqGS,48091
WDFC,NasdaqGS,48092
WYNN,NasdaqGS,48141
XLNX,NasdaqGS,48147
XRAY,NasdaqGS,48156
YY,NasdaqGS,48167
Z,NasdaqGS,48168
ZBRA,NasdaqGS,48171
ZION,NasdaqGS,48177
AMD,NasdaqGS,48187
DOX,NasdaqGS,48188
GT,NasdaqGS,48190
MAR,NasdaqGS,48191
ODP,NasdaqGS,48194
PPC,NasdaqGS,48226
PTC,NasdaqGS,49341
RDS.A,NYSE,49401
SYNH,NasdaqGS,49479
SEDG,NasdaqGS,49521
BF.B,NYSE,67685
BRK.B,NYSE,67686
KHC,NasdaqGS,67691
PYPL,NasdaqGS,67692
ES,NYSE,67693
LNG,NYSEAM,67787
NG,NYSEAM,67800
WRK,NYSE,68507
LITE,NasdaqGS,68508
HPE,NYSE,68511
TMUS,NasdaqGS,68526
ENR,NYSE,68533
WLTW,NasdaqGS,68561
AGR,NYSE,68562
TWLO,NYSE,68595
SPGI,NYSE,68596
AC,NYSE,68605
TDOC,NYSE,68607
PSTG,NYSE,68618
FTV,NYSE,68621
SQ,NYSE,68629
PFGC,NYSE,68632
SUM,NYSE,68635
CC,NYSE,68642
ETSY,NasdaqGS,68672
RUN,NasdaqGS,68726
TEAM,NasdaqGS,68765
INFO,NYSE,68786
SHOP,NYSE,68798
USFD,NYSE,68816
ADNT,NYSE,68822
UAA,NYSE,68824
ZG,NasdaqGS,68836
NTNX,NasdaqGS,68838
HUBB,NYSE,68840
VVV,NYSE,68841
YUMC,NYSE,68842
CNDT,NasdaqGS,68849
TTD,NasdaqGS,68894
AMN,NYSE,68898
SNAP,NYSE,68937
RELX,NYSE,68943
RACE,NYSE,68985
SR,NYSE,68991
COUP,NasdaqGS,69021
DXC,NYSE,69024
INVH,NYSE,69042
LW,NYSE,69050
NOVN,NasdaqGS,69085
PK,NYSE,69112
CVNA,NYSE,69132
GOOS,NYSE,69173
APPN,NasdaqGS,69226
ATUS,NYSE,69228
JHG,NYSE,69275
RDFN,NasdaqGS,69285
BKR,NYSE,69316
ROKU,NasdaqGS,69342
VST,NYSE,69347
IQV,NYSE,69376
NTR,NYSE,69436
APTV,NYSE,69465
DBX,NasdaqGS,69543
SPOT,NYSE,69562
CDAY,NYSE,69571
DOCU,NasdaqGS,69574
INSP,NYSE,69579
EQH,NYSE,69630
BJ,NYSE,69680
ARLO,NYSE,69726
EVRG,NYSE,69740
NXGN,NasdaqGS,69749
GH,NasdaqGS,69811
LTHM,NYSE,69825
PLAN,NYSE,69827
CCEP,NasdaqGS,69855
ACA,NYSE,69859
LIN,NYSE,69864
MRNA,NasdaqGS,69892
DELL,NYSE,69900
CPRI,NYSE,69902
NFE,NasdaqGS,69926
LYFT,NasdaqGS,71617
DOW,NYSE,71639
BYND,NasdaqGS,71673
UBER,NYSE,71692
ZM,NasdaqGS,71694
PINS,NYSE,71696
AVTR,NYSE,71706
TME,NYSE,71719
CTVA,NYSE,71720
AMCR,NYSE,71722
CHWY,NYSE,71727
IAA,NYSE,71745
FOXA,NasdaqGS,71785
VIAC,NasdaqGS,76385
APA,NasdaqGS,82799
CARR,NYSE,82800
STZ,NYSE,82801
HWM,NYSE,82802
OTIS,NYSE,82803
TT,NYSE,82804
RTX,NYSE,82805
TXG,NasdaqGS,83088
PFC,NasdaqGS,83094
PTON,NasdaqGS,83102
NCNO,NasdaqGS,83253
DKNG,NasdaqGS,83319
FROG,NasdaqGS,83330
RKT,NYSE,83337
ACI,NYSE,83343
AMWL,NYSE,83357
SNOW,NYSE,83358
GDRX,NasdaqGS,84086
AZN,NasdaqGS,84098
AEP,NasdaqGS,84099
KDP,NasdaqGS,84101
DASH,NYSE,84916
VTRS,NasdaqGS,84923
NKLA,NasdaqGS,84924
WTRG,NYSE,84925
LUMN,NYSE,84927
MMP,NYSE,84931
EPD,NYSE,84933
HST,NasdaqGS,84936
ABNB,NasdaqGS,86750
OPEN,NasdaqGS,86802
AI,NYSE,86822
RBLX,NYSE,113804
MP,NYSE,113942
OTLY,NasdaqGS,120068
COIN,NasdaqGS,120122
FSR,NYSE,120221
SNY,NasdaqGS,120680
NWG,NYSE,120683
ENBL,NYSE,120690
NS,NYSE,120732
PAA,NasdaqGS,120739
AB,NYSE,120748
LCID,NasdaqGS,120784
SBNY,NasdaqGS,134664
GOOG,NasdaqGS,135030
MLKN,NasdaqGS,47024
BHP,NYSE,43077
AMOV,NYSE,45536
WOLF,NasdaqGS,46008
CLDR,NYSE,69131
MNDT,NasdaqGS,46334
LGF.B,NYSE,68833
